initial_random_seq_files,orientation_index,orientation_degrees,correct_answer_index,correct_answer_direction,arrow_color,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,init_random_trials.thisRepN,init_random_trials.thisTrialN,init_random_trials.thisN,init_random_trials.thisIndex,thisRow.t,notes,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pre_section.started,pre_section.stopped,trial.started,arrowhead.started,key_resp.started,arrowhead.stopped,trial.stopped,key_resp.keys,key_resp.corr,fixation_practice.started,cross.started,feedback_text.started,cross.stopped,feedback_text.stopped,fixation_practice.stopped,RSI.started,text_2.started,text_2.stopped,RSI.stopped,key_resp.stopped,key_resp.rt,key_resp.duration,participant,session,learning_type,seqID,date,expName,psychopyVersion,frameRate,expStart,
sequences/538043_initial_random.csv,3,270,3,1,red,0,0,0,0,0,9,9,9,33.077693099854514,,,,,,,,,,,,33.0617863999214,33.077693099854514,33.077693099854514,33.27754389983602,33.37828859989531,4,0,33.3785500000231,33.3944856999442,33.3944856999442,33.894435700029135,34.39427009993233,34.37882780004293,34.37885019998066,34.39427009993233,35.0943131998647,35.077986399875954,,0.2913727001287043,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,2,180,2,2,red,0,0,0,0,0,10,10,10,35.0943131998647,,,,,,,,,,,,35.07823809981346,35.0943131998647,35.0943131998647,35.29434269992635,35.578119799960405,None,0,35.57830089982599,35.594361800001934,35.594361800001934,36.09425579989329,36.594044300029054,36.57801159983501,36.57802779995836,36.594044300029054,37.29439429985359,37.27793539990671,35.594361800001934,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,3,270,3,1,red,0,0,0,0,0,11,11,11,37.29439429985359,,,,,,,,,,,,37.27821179991588,37.29439429985359,37.29439429985359,37.494077999843284,37.64491169992834,2,0,37.64513959991746,37.66087659983896,37.66087659983896,38.160637999884784,38.66065860004164,38.64457959984429,38.64459759998135,38.66065860004164,39.36068859999068,39.34457249986008,,0.3355933001730591,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,0,0,0,4,red,0,0,0,0,0,12,12,12,39.36068859999068,,,,,,,,,,,,39.344822000013664,39.36068859999068,39.36068859999068,39.56061329995282,39.844346599886194,None,0,39.84462479990907,39.86070259986445,39.86070259986445,40.36061679990962,40.86070079985075,40.84457940002903,40.84459889982827,40.86070079985075,41.56055449997075,41.54415769991465,39.86070259986445,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,3,270,3,1,red,0,0,0,0,0,13,13,13,41.56055449997075,,,,,,,,,,,,41.54452069988474,41.56055449997075,41.56055449997075,41.76045880001038,42.0281912998762,1,1,42.02861409983598,42.04408839996904,42.04408839996904,42.54394849995151,43.04375159996562,43.02768029994331,43.02770909992978,43.04375159996562,43.74389969999902,43.72775650001131,,0.4609217999968678,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,3,270,3,1,red,0,0,0,0,0,14,14,14,43.74389969999902,,,,,,,,,,,,43.728118899976835,43.74389969999902,43.74389969999902,43.94386679981835,44.227791300043464,None,0,44.22814529994503,44.243916400009766,44.243916400009766,44.743804699974135,45.243814499815926,45.227425299817696,45.22744299983606,45.243814499815926,45.94369679992087,45.9273494000081,44.243916400009766,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,3,270,3,1,red,0,0,0,0,0,15,15,15,45.94369679992087,,,,,,,,,,,,45.92754469998181,45.94369679992087,45.94369679992087,46.14361170004122,46.42759159998968,None,0,46.427887599915266,46.44364599999972,46.44364599999972,46.943777799839154,47.443646299885586,47.42773179989308,47.42775499983691,47.443646299885586,48.143713400000706,48.12754160002805,46.44364599999972,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,2,180,2,2,red,0,0,0,0,0,16,16,16,48.143713400000706,,,,,,,,,,,,48.127878699917346,48.143713400000706,48.143713400000706,48.34357469994575,48.46163809997961,1,0,48.46203289995901,48.47701569995843,48.47701569995843,48.977122199954465,49.476858499925584,49.46041899989359,49.46044939989224,49.476858499925584,50.17677539982833,50.16054289997555,,0.3120343000628054,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,1,90,1,3,red,0,0,0,0,0,17,17,17,50.17677539982833,,,,,,,,,,,,50.16081859986298,50.17677539982833,50.17677539982833,,50.31060319999233,2,0,50.310837500030175,50.32688629999757,50.32688629999757,50.82899679988623,51.32659969991073,51.31038379995152,51.310399499954656,51.32659969991073,52.02682379982434,52.01045499998145,,0.13173749996349216,None,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
sequences/538043_initial_random.csv,3,270,3,1,red,0,0,0,0,0,18,18,18,52.02682379982434,,,,,,,,,,,,52.01074999989942,52.02682379982434,52.02682379982434,52.226807799888775,52.51049020001665,None,0,52.51080839987844,52.526766299968585,52.526766299968585,53.02675429987721,53.52647169982083,53.510307099903,53.51032819994725,53.52647169982083,54.22662359988317,54.210290799848735,52.526766299968585,,,538043,001,percept,1,2024-07-26_22h19.12.673,ASRT_percept,2023.2.3,59.983036779759594,2024-07-26 22h20.21.611340 +0800,
