motor_testing_seq_files,orientation_degrees,orientation_index,correct_answer_index,correct_answer_direction,arrow_color,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,practice_blocks.thisRepN,practice_blocks.thisTrialN,practice_blocks.thisN,practice_blocks.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,motor_testing_trials.thisRepN,motor_testing_trials.thisTrialN,motor_testing_trials.thisN,motor_testing_trials.thisIndex,motor_testing_loop.thisRepN,motor_testing_loop.thisTrialN,motor_testing_loop.thisN,motor_testing_loop.thisIndex,thisRow.t,notes,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pratice_instruction.started,spaceship_rotated.started,rotation_instruction.started,key_resp_2.started,pratice_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,learning_instruction.started,spaceship_rotated01.started,rotation_instruction01.started,key_resp_02.started,learning_instruction.stopped,key_resp_02.keys,key_resp_02.rt,key_resp_02.duration,motor_testing_instruction.started,spaceship3.started,motor_testing_instruction_text.started,key_resp_3.started,motor_testing_instruction.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,pre_section.started,pre_section.stopped,trial.started,arrowhead.started,key_resp.started,arrowhead.stopped,trial.stopped,key_resp.keys,key_resp.corr,fixation.started,cross_2.started,cross_2.stopped,fixation.stopped,RSI.started,text_2.started,text_2.stopped,RSI.stopped,key_resp.stopped,key_resp.rt,key_resp.duration,participant,session,learning_type,seqID,date,expName,psychopyVersion,frameRate,expStart,
sequences/695234_motortesting_sequence_00.csv,90,1,1,3,red,,,,,,,,,,,,,0,0,0,0,0,16,16,16,31.882674899999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.866984699998284,31.882674899999984,31.882674899999984,32.08274560000427,32.36629930000345,None,0,32.36658020000323,32.38273070000287,32.515995900001144,32.49987780000083,32.49990020000405,32.515995900001144,33.216126500003156,33.19993899999827,32.38273070000287,,,695234,001,motor,1,2024-07-27_10h27.07.178,ASRT_percept,2023.2.3,59.98174155675152,2024-07-27 10h27.25.253172 +0800,
sequences/695234_motortesting_sequence_00.csv,270,3,3,1,white,,,,,,,,,,,,,0,0,0,0,0,17,17,17,33.216126500003156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2003138,33.216126500003156,33.216126500003156,33.41579250000359,33.69995370000106,None,0,33.700181500003964,33.71600120000221,33.84935450000194,33.83314760000212,33.8331634999995,33.84935450000194,34.54938309999852,34.53313290000369,33.71600120000221,,,695234,001,motor,1,2024-07-27_10h27.07.178,ASRT_percept,2023.2.3,59.98174155675152,2024-07-27 10h27.25.253172 +0800,
sequences/695234_motortesting_sequence_00.csv,90,1,1,3,red,,,,,,,,,,,,,0,0,0,0,0,18,18,18,34.54938309999852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.53338220000296,34.54938309999852,34.54938309999852,34.74920430000202,35.03294250000181,None,0,35.033169300004374,35.049312900002406,35.182529600002454,35.166461400003755,35.166476200000034,35.182529600002454,35.882910000000265,35.86660580000171,35.049312900002406,,,695234,001,motor,1,2024-07-27_10h27.07.178,ASRT_percept,2023.2.3,59.98174155675152,2024-07-27 10h27.25.253172 +0800,
sequences/695234_motortesting_sequence_00.csv,0,0,0,4,white,,,,,,,,,,,,,0,0,0,0,0,19,19,19,35.882910000000265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.86691489999794,35.882910000000265,35.882910000000265,36.08252879999782,36.366415600001346,None,0,36.36659060000238,36.38255030000437,36.51580310000281,36.50005200000305,36.500076700001955,36.51580310000281,37.21587140000338,37.1996364000006,36.38255030000437,,,695234,001,motor,1,2024-07-27_10h27.07.178,ASRT_percept,2023.2.3,59.98174155675152,2024-07-27 10h27.25.253172 +0800,
sequences/695234_motortesting_sequence_00.csv,270,3,3,1,red,,,,,,,,,,,,,0,0,0,0,0,20,20,20,37.21587140000338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.20007009999972,37.21587140000338,37.21587140000338,37.41578570000274,37.699618700004066,None,0,37.69979400000011,37.715922900002624,37.849054099999194,37.83307729999797,37.83309549999831,37.849054099999194,38.54915400000027,38.53280449999875,37.715922900002624,,,695234,001,motor,1,2024-07-27_10h27.07.178,ASRT_percept,2023.2.3,59.98174155675152,2024-07-27 10h27.25.253172 +0800,
sequences/695234_motortesting_sequence_00.csv,90,1,1,3,white,,,,,,,,,,,,,0,0,0,0,0,21,21,21,38.54915400000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.53306750000047,38.54915400000027,38.54915400000027,38.749113800004125,39.03297210000164,None,0,39.03319999999803,39.049138599999424,39.182291500001156,39.16634119999799,39.16635900000256,39.182291500001156,39.88232830000197,39.866336600003706,39.049138599999424,,,695234,001,motor,1,2024-07-27_10h27.07.178,ASRT_percept,2023.2.3,59.98174155675152,2024-07-27 10h27.25.253172 +0800,
sequences/695234_motortesting_sequence_00.csv,0,0,0,4,red,,,,,,,,,,,,,0,0,0,0,0,22,22,22,39.88232830000197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.866603000002215,39.88232830000197,39.88232830000197,40.08243210000364,40.36674060000223,None,0,40.367156799999066,40.382455999999365,40.51574300000357,40.49954129999969,40.499558200004685,40.51574300000357,41.215678400003526,41.20003440000437,40.382455999999365,,,695234,001,motor,1,2024-07-27_10h27.07.178,ASRT_percept,2023.2.3,59.98174155675152,2024-07-27 10h27.25.253172 +0800,
sequences/695234_motortesting_sequence_00.csv,180,2,2,2,white,,,,,,,,,,,,,0,0,0,0,0,23,23,23,41.215678400003526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.20050590000028,41.215678400003526,41.215678400003526,41.415598200001114,41.69985409999936,None,0,41.70020849999855,41.71585420000338,41.84886859999824,41.83327660000214,41.83331149999867,41.84886859999824,42.54878019999887,42.53276300000289,41.71585420000338,,,695234,001,motor,1,2024-07-27_10h27.07.178,ASRT_percept,2023.2.3,59.98174155675152,2024-07-27 10h27.25.253172 +0800,
sequences/695234_motortesting_sequence_00.csv,270,3,3,1,red,,,,,,,,,,,,,0,0,0,0,0,24,24,24,42.54878019999887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.533233800000744,42.54878019999887,42.54878019999887,42.748759100002644,43.03253109999787,None,0,43.03271959999984,43.04886129999795,43.1818987000006,43.165914000004705,43.165931399998954,43.1818987000006,43.88206889999856,43.865951500003575,43.04886129999795,,,695234,001,motor,1,2024-07-27_10h27.07.178,ASRT_percept,2023.2.3,59.98174155675152,2024-07-27 10h27.25.253172 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,43.88206889999856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.86628629999905,43.88206889999856,43.88206889999856,44.08214959999896,,,,,,,,,,,,,,,,,,,,,,,,
