initial_random_seq_files,orientation_index,orientation_degrees,correct_answer_index,correct_answer_direction,arrow_color,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,init_random_trials.thisRepN,init_random_trials.thisTrialN,init_random_trials.thisN,init_random_trials.thisIndex,thisRow.t,notes,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pre_section.started,pre_section.stopped,trial.started,arrowhead.started,key_resp.started,arrowhead.stopped,trial.stopped,key_resp.keys,key_resp.corr,fixation_feedback.started,cross.started,feedback_text.started,cross.stopped,feedback_text.stopped,fixation_feedback.stopped,RSI.started,text_2.started,text_2.stopped,RSI.stopped,key_resp.stopped,key_resp.rt,key_resp.duration,participant,session,learning_type,seqID,debug,date,expName,psychopyVersion,frameRate,expStart,
sequences/867746_initial_random.csv,0,0,0,up,red,0,0,0,0,0,9,9,9,23.269829000004393,,,,,,,,,,,,23.25455299999885,23.269829000004393,23.269829000004393,23.470129799999995,23.75393890000123,None,0,23.754263300004823,23.76992180000525,23.76992180000525,24.269784600001003,24.769876999998814,24.754162199998973,24.75420149999991,24.769876999998814,25.469953500003612,25.453801299998304,23.76992180000525,,,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,3,270,3,left,red,0,0,0,0,0,10,10,10,25.469953500003612,,,,,,,,,,,,25.454193000005034,25.469953500003612,25.469953500003612,25.669836200002464,25.953949399998237,None,0,25.954270400005043,25.969902000004367,25.969902000004367,26.469892599998275,26.969824300002074,26.954168000003847,26.954206200003682,26.969824300002074,27.66951610000251,27.653529499999422,25.969902000004367,,,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,2,180,2,down,red,0,0,0,0,0,11,11,11,27.66951610000251,,,,,,,,,,,,27.65385000000242,27.66951610000251,27.66951610000251,27.869872000002943,28.153769600001397,None,0,28.154150300004403,28.16965180000261,28.16965180000261,28.669557000001078,29.16971200000262,29.15408970000135,29.154129000002285,29.16971200000262,29.869573200005107,29.85355520000303,28.16965180000261,,,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,3,270,3,left,red,0,0,0,0,0,12,12,12,29.869573200005107,,,,,,,,,,,,29.853950900003838,29.869573200005107,29.869573200005107,30.0696792000017,30.287372999999207,left,1,30.28759330000321,30.30290270000114,30.30290270000114,30.80288550000114,31.302635600004578,31.287218800003757,31.287248200002068,31.302635600004578,32.00281750000431,31.986976300002425,,0.4100079000054393,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,1,90,1,right,red,0,0,0,0,0,13,13,13,32.00281750000431,,,,,,,,,,,,31.9874140000029,32.00281750000431,32.00281750000431,32.20301460000337,32.4541462000052,up,0,32.454648600003566,32.46967330000189,32.46967330000189,32.96963250000408,33.46926710000116,33.45352450000064,33.453572300000815,33.46926710000116,34.16923980000138,34.15361470000062,,0.4473297000004095,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,3,270,3,left,red,0,0,0,0,0,14,14,14,34.16923980000138,,,,,,,,,,,,34.15392879999854,34.16923980000138,34.16923980000138,34.369288900001266,34.65290720000485,None,0,34.65311870000005,34.669114600001194,34.669114600001194,35.16946699999971,35.66947510000318,35.653358900002786,35.65338540000084,35.66947510000318,36.369256300000416,36.35338259999844,34.669114600001194,,,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,2,180,2,down,red,0,0,0,0,0,15,15,15,36.369256300000416,,,,,,,,,,,,36.35389099999884,36.369256300000416,36.369256300000416,36.56941380000353,36.853464100000565,None,0,36.85388850000163,36.86919940000371,36.86919940000371,37.36917979999998,37.86918549999973,37.852794400001585,37.852810000003956,37.86918549999973,38.569051200000104,38.55308380000497,36.86919940000371,,,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,3,270,3,left,red,0,0,0,0,0,16,16,16,38.569051200000104,,,,,,,,,,,,38.55346060000011,38.569051200000104,38.569051200000104,38.769200399998226,38.8870917000022,right,0,38.8875124000042,38.90247890000319,38.90247890000319,39.40236720000394,39.90236839999852,39.88684900000226,39.88688499999989,39.90236839999852,40.60245510000095,40.5866915000006,,0.30627309999545105,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,3,270,3,left,red,0,0,0,0,0,17,17,17,40.60245510000095,,,,,,,,,,,,40.587125600002764,40.60245510000095,40.60245510000095,40.80239370000345,40.97035350000078,left,1,40.97084040000482,40.985598400002345,40.985598400002345,41.48576540000067,41.98555930000293,41.97009290000278,41.97012430000177,41.98555930000293,42.6856018000035,42.66971370000101,,0.3620835999972769,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
sequences/867746_initial_random.csv,0,0,0,up,red,0,0,0,0,0,18,18,18,42.6856018000035,,,,,,,,,,,,42.67016810000496,42.6856018000035,42.6856018000035,42.885344800000894,43.05347540000366,up,1,43.053865900001256,43.06886160000431,43.06886160000431,43.56886130000203,44.06892009999865,44.0532114000016,44.0532938000033,44.06892009999865,44.768966399999044,44.75323070000013,,0.35919389999617124,None,867746,001,motor,1,1,2024-07-27_10h59.05.664,ASRT_percept,2023.2.3,60.027432535036475,2024-07-27 10h59.20.219627 +0800,
