trials.thisRepN,seq_report_key.keys,blockID,sid,tasktype
2,4,L20,sub104,motor
3,1,L20,sub104,motor
4,2,L20,sub104,motor
5,3,L20,sub104,motor
6,3,L20,sub104,motor
7,4,L20,sub104,motor
8,2,L20,sub104,motor
9,4,L20,sub104,motor
10,1,L20,sub104,motor
11,3,L20,sub104,motor
0,2,L01,sub105,motor
1,1,L01,sub105,motor
2,4,L01,sub105,motor
3,3,L01,sub105,motor
4,3,L01,sub105,motor
5,2,L01,sub105,motor
6,1,L01,sub105,motor
7,4,L01,sub105,motor
8,4,L01,sub105,motor
9,2,L01,sub105,motor
10,1,L01,sub105,motor
11,1,L01,sub105,motor
0,3,L02,sub105,motor
1,1,L02,sub105,motor
2,2,L02,sub105,motor
3,4,L02,sub105,motor
4,3,L02,sub105,motor
5,1,L02,sub105,motor
6,2,L02,sub105,motor
7,4,L02,sub105,motor
8,3,L02,sub105,motor
9,1,L02,sub105,motor
10,4,L02,sub105,motor
11,2,L02,sub105,motor
0,3,L03,sub105,motor
1,1,L03,sub105,motor
2,2,L03,sub105,motor
3,4,L03,sub105,motor
4,3,L03,sub105,motor
5,1,L03,sub105,motor
6,2,L03,sub105,motor
7,4,L03,sub105,motor
8,3,L03,sub105,motor
9,2,L03,sub105,motor
10,1,L03,sub105,motor
11,4,L03,sub105,motor
0,2,L04,sub105,motor
1,4,L04,sub105,motor
2,1,L04,sub105,motor
3,3,L04,sub105,motor
4,2,L04,sub105,motor
5,4,L04,sub105,motor
6,1,L04,sub105,motor
7,3,L04,sub105,motor
8,2,L04,sub105,motor
9,4,L04,sub105,motor
10,1,L04,sub105,motor
11,3,L04,sub105,motor
0,2,L05,sub105,motor
1,4,L05,sub105,motor
2,1,L05,sub105,motor
3,3,L05,sub105,motor
4,2,L05,sub105,motor
5,4,L05,sub105,motor
6,1,L05,sub105,motor
7,3,L05,sub105,motor
8,2,L05,sub105,motor
9,4,L05,sub105,motor
10,1,L05,sub105,motor
11,3,L05,sub105,motor
0,2,L06,sub105,motor
1,4,L06,sub105,motor
2,1,L06,sub105,motor
3,3,L06,sub105,motor
4,2,L06,sub105,motor
5,4,L06,sub105,motor
6,1,L06,sub105,motor
7,3,L06,sub105,motor
8,2,L06,sub105,motor
9,4,L06,sub105,motor
10,1,L06,sub105,motor
11,3,L06,sub105,motor
0,2,L07,sub105,motor
1,4,L07,sub105,motor
2,1,L07,sub105,motor
3,3,L07,sub105,motor
4,2,L07,sub105,motor
5,4,L07,sub105,motor
6,1,L07,sub105,motor
7,3,L07,sub105,motor
8,2,L07,sub105,motor
9,4,L07,sub105,motor
10,1,L07,sub105,motor
11,3,L07,sub105,motor
0,2,L08,sub105,motor
1,4,L08,sub105,motor
2,1,L08,sub105,motor
3,3,L08,sub105,motor
4,2,L08,sub105,motor
5,4,L08,sub105,motor
6,1,L08,sub105,motor
7,3,L08,sub105,motor
8,2,L08,sub105,motor
9,4,L08,sub105,motor
10,1,L08,sub105,motor
11,2,L08,sub105,motor
0,2,L09,sub105,motor
