percept_testing_seq_files,orientation_degrees,orientation_index,correct_answer_index,correct_answer_direction,arrow_color,init_random_block.thisRepN,init_random_block.thisTrialN,init_random_block.thisN,init_random_block.thisIndex,practice_blocks.thisRepN,practice_blocks.thisTrialN,practice_blocks.thisN,practice_blocks.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,percept_testing_trials.thisRepN,percept_testing_trials.thisTrialN,percept_testing_trials.thisN,percept_testing_trials.thisIndex,percept_testing_loop.thisRepN,percept_testing_loop.thisTrialN,percept_testing_loop.thisN,percept_testing_loop.thisIndex,thisRow.t,notes,welcomescreen.started,spaceship.started,welcometext.started,welcome_end.started,welcomescreen.stopped,welcome_end.keys,welcome_end.rt,welcome_end.duration,pratice_instruction.started,spaceship_rotated.started,rotation_instruction.started,key_resp_2.started,pratice_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,learning_instruction.started,spaceship_rotated01.started,rotation_instruction01.started,key_resp_02.started,learning_instruction.stopped,key_resp_02.keys,key_resp_02.rt,key_resp_02.duration,percept_testing_instruction.started,spaceship4.started,key_resp_5.started,percept_testing_instruction_text.started,percept_testing_instruction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,pre_section.started,fixation_init.started,pre_section.stopped,trial.started,arrowhead.started,key_resp.started,arrowhead.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,fixation.started,cross_2.started,cross_2.stopped,fixation.stopped,RSI.started,text_2.started,RSI.stopped,text_2.stopped,post_section.started,feedback_post_section.started,key_resp_4.started,post_section.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,fixation_init.stopped,key_resp.stopped,participant,learning_type,seqID,debug,date,expName,psychopyVersion,frameRate,expStart,
sequences/sub0103_percepttesting_sequence_00.csv,90,1,1,3,red,,,,,,,,,,,,,0,0,0,0,0,16,16,16,29.304700500000763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.297369300000355,29.304700500000763,29.304700500000763,29.509830000000875,29.658656699999483,3,1,0.34859509999841976,None,29.659346700000242,29.667010299999674,29.717575900000156,29.7118774999999,29.71191639999961,29.717575900000156,30.412049700000352,,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,0,0,0,4,white,,,,,,,,,,,,,0,0,0,0,0,17,17,17,30.419391699999323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.412311000000045,30.419391699999323,30.419391699999323,30.620936499999516,30.734718199999406,4,1,0.310616900000241,None,30.73549710000043,30.74208770000041,30.79436429999987,30.787475099999938,30.78749550000066,30.79436429999987,31.48985680000078,,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,90,1,1,3,red,,,,,,,,,,,,,0,0,0,0,0,18,18,18,31.497360699999263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.490704100000585,31.497360699999263,31.497360699999263,31.69734570000037,31.879499200000282,3,1,0.3742705999993632,None,31.880135299999893,31.884582099999534,31.9400241000003,31.934004200000345,31.93404030000056,31.9400241000003,32.63527020000038,,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,270,3,3,1,white,,,,,,,,,,,,,0,0,0,0,0,19,19,19,32.64295750000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.63626330000079,32.64295750000019,32.64295750000019,32.842164100000446,32.97218889999931,1,1,0.3244311000016751,None,32.97300759999962,32.97983489999933,33.03033119999964,33.02436239999952,33.02442449999944,33.03033119999964,33.72504769999978,,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,0,0,0,4,red,,,,,,,,,,,,,0,0,0,0,0,20,20,20,33.73214469999948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.72574739999982,33.73214469999948,33.73214469999948,33.93328870000005,34.09434829999918,4,1,0.35575600000083796,None,34.094628799999555,34.09954300000027,34.15547920000063,34.14873799999987,34.14875419999953,34.15547920000063,34.84954570000082,,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,180,2,2,2,white,,,,,,,,,,,,,0,0,0,0,0,21,21,21,34.856806300000244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.84981990000051,34.856806300000244,34.856806300000244,35.05817240000033,35.179490700000315,2,1,0.3155726999993931,None,35.18049459999929,35.18858349999937,35.23955449999994,35.233399000000645,35.23345460000019,35.23955449999994,35.933560400000715,,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,270,3,3,1,red,,,,,,,,,,,,,0,0,0,0,0,22,22,22,35.94207190000088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.93481609999981,35.94207190000088,35.94207190000088,36.14089899999999,36.24804960000074,1,1,0.2978684000008798,None,36.24841790000028,36.25227020000057,36.30857979999928,36.30282690000058,36.30291050000051,36.30857979999928,37.002477899999576,37.00951039999927,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,90,1,1,3,white,,,,,,,,,,,,,0,0,0,0,0,23,23,23,37.00951039999927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00272760000007,37.00951039999927,37.00951039999927,37.210496100000455,37.40412289999949,3,1,0.38405880000027537,None,37.404746800000794,37.410536699999284,37.461308899999494,37.45526009999958,37.4554246000007,37.461308899999494,38.15579980000075,,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,270,3,3,1,red,,,,,,,,,,,,,0,0,0,0,0,24,24,24,38.162145500000406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15647270000045,38.162145500000406,38.162145500000406,38.363969399999405,38.559743399999206,1,1,0.39353940000000875,None,38.56030719999944,38.564538299999185,38.62002390000089,38.613808599999174,38.61383729999943,38.62002390000089,39.314424500000314,,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,0,0,0,4,white,,,,,,,,,,,,,0,0,0,0,0,25,25,25,39.32179550000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.314753599999676,39.32179550000001,39.32179550000001,39.52309500000047,39.62808100000075,4,1,0.29938769999898796,None,39.62853969999924,39.633701500000825,39.68920790000084,39.68384119999973,39.68388579999919,39.68920790000084,40.385279199999786,,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,0,0,0,4,red,,,,,,,,,,,,,0,0,0,0,0,26,26,26,40.395021800000904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.38650740000048,40.395021800000904,40.395021800000904,40.60031899999922,40.74342869999964,4,1,0.345399499999985,None,40.74427769999966,40.74866680000014,40.80074579999928,40.79487909999989,40.794911000000866,40.80074579999928,41.49570780000067,,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,270,3,3,1,white,,,,,,,,,,,,,0,0,0,0,0,27,27,27,41.50285000000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.49636950000058,41.50285000000076,41.50285000000076,41.70413480000025,41.88014870000006,1,1,0.37228200000026845,None,41.881049800000255,41.885627300000124,41.94008910000048,41.93411360000027,41.934152699999686,41.94008910000048,42.63454300000012,42.641648599999826,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,0,0,0,4,red,,,,,,,,,,,,,0,0,0,0,0,28,28,28,42.641648599999826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.634974200000215,42.641648599999826,42.641648599999826,42.84214079999947,42.9757611999994,4,1,0.32633330000135174,None,42.97627660000035,42.98071809999965,43.03685469999982,43.03027420000035,43.03029079999942,43.03685469999982,43.7316191000009,,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,180,2,2,2,white,,,,,,,,,,,,,0,0,0,0,0,29,29,29,43.73811960000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.732226199999786,43.73811960000057,43.73811960000057,43.939979999999196,44.132452199999534,2,1,0.3903267000005144,None,44.13329809999959,44.139907000000676,44.189534600000115,44.18402210000022,44.1840745999998,44.189534600000115,44.88546580000002,,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,180,2,2,2,red,,,,,,,,,,,,,0,0,0,0,0,30,30,30,44.890614600000845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.88675949999924,44.890614600000845,44.890614600000845,45.09270250000009,45.325479400000404,2,1,0.42849700000078883,None,45.32640910000009,45.33386079999946,45.38359330000094,45.37718119999954,45.377202199999374,45.38359330000094,46.07918400000017,,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
sequences/sub0103_percepttesting_sequence_00.csv,90,1,1,3,white,,,,,,,,,,,,,0,0,0,0,0,31,31,31,46.089008700000704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.07991899999979,46.089008700000704,46.089008700000704,46.293958100000964,46.43604079999932,3,1,0.33917079999991984,None,46.43735809999998,46.44306239999969,46.49520450000091,46.48919170000045,46.48924090000037,46.49520450000091,47.18960569999945,47.19616830000086,,,,,,,,,,sub0103,percept,6,0,2024-08-07_16h35.59.445,ASRT_percept,2023.2.3,151.47636438491008,2024-08-07 16h36.28.124898 +0800,
